adm0_name,iso3,X,Y,published,info,airline
Abyei,"SDN, SSD",28.415755,9.786952,2010-01-01,null,null
Afghanistan,AFG,66.026881,33.831602,2010-01-01,null,null
Aksai Chin,"AKS, CHN",79.132432,35.030488,2010-01-01,null,null
Åland Islands,ALA,19.80946,60.15449,2010-01-01,null,null
Albania,ALB,20.066643,41.138926,2010-01-01,null,null
Algeria,DZA,2.678028,28.157361,2020-04-20,Date officielle de la reprise de ses vols : Air Algérie se prononce,.Air Algerie
American Samoa,ASM,-170.71806,-14.300686,2010-01-01,null,null
Andorra,AND,1.576279,42.545479,2010-01-01,null,null
Angola,AGO,17.577532,-12.337524,2020-03-27,TAAG 15-day scheduled service suspension from 20MAR20,TAAG
Anguilla,AIA,-63.054596,18.214755,2010-01-01,null,null
Antarctica,ATA,21.475857,-80.408977,2010-01-01,null,null
Antigua and Barbuda,ATG,-61.799256,17.077306,2010-01-01,null,null
Argentina,ARG,-63.578123,-31.578414,2020-03-30,Aerolineas Argentinas 01APR20 – 10APR20 DOMESTIC operations as of 29MAR20,.Aerolineas Argentinas
Armenia,ARM,44.938387,40.295005,2010-01-01,null,null
Aruba,ABW,-69.970272,12.50911,2010-01-01,null,null
Arunachal Pradesh,"IND, CHN",94.372447,28.128178,2010-01-01,null,null
Ashmore and Cartier Islands,AUS,122.967269,-12.242967,2010-01-01,null,null
Australia,AUS,134.354708,-25.573209,2020-03-24,Tigerair Australia will ground all their domestic services effective immediately.,Tigerair Australia
Austria,AUT,14.141702,47.58705,2020-04-29,Austrian Airlines extends flight suspensions until 31 May,Austrian Airlines
Azerbaijan,AZE,50.010647,40.392295,2020-03-31,Azerbaijan Airlines operations from 26MAR20,.Azerbajan Airlines
Azores Islands,PRT,-25.494913,37.77694,2010-01-01,null,null
Bahamas,BHS,-78.051117,24.695466,2010-01-01,null,null
Bahrain,BHR,50.547509,26.054724,2020-04-04,Gulf Air says transit open again via Bahrain for international travelers,.Gulf Air
Baker Island,UMI,-176.47834,0.194787,2010-01-01,null,null
Bangladesh,BGD,90.28042,23.927884,2020-03-05,US-Bangla Airlines reduces Guangzhou service,US Bangla
Barbados,BRB,-59.53546,13.13996,2010-01-01,null,null
Bassas da India,xFR,39.748618,-21.46322,2010-01-01,null,null
Belarus,BLR,28.0494,53.541933,2020-04-01,Belavia suspends flights to Moscow airports until 30 April because of COVID-19,Belavia
Belgium,BEL,4.660713,50.640947,2020-03-28,Air Antwerp intends to resume service between Antwerp and London City on 4 May,Air Antwerp
Belize,BLZ,-88.708794,17.19908,2010-01-01,null,null
Benin,BEN,2.339979,9.653766,2010-01-01,null,null
Bermuda,BMU,-64.785473,32.279828,2010-01-01,null,null
Bhutan,BTN,90.427775,27.395175,2020-05-13,Druk Air 13 – 31MAY20 operations as of 13MAY20,.Druk Air
Bi'r Tawīl,"SDN, EGY",33.687997,21.888666,2010-01-01,null,null
Bird Island,VEN,-63.617377,15.668231,2010-01-01,null,null
Bolivia,BOL,-64.662243,-16.712734,2010-01-01,null,null
Bonaire,BES,-68.308064,12.226704,2010-01-01,null,null
Bosnia and Herzegovina,BIH,17.785036,44.168219,2020-03-16,Flights suspended Flights from Sarajevo International Airport,"Aegean, Lufthansa, Pegasus"
Botswana,BWA,23.813802,-22.188101,2010-01-01,null,null
Bouvet Island,BVT,3.363476,-54.421105,2010-01-01,null,null
Brazil,BRA,-53.089656,-10.772064,2020-03-24,"Gol reduces network, maintains service to all Brazilian capital cities",Gol
British Virgin Islands,VGB,-64.59433,18.430285,2010-01-01,null,null
Brunei,BRN,114.628856,4.49737,2020-03-18,"Royal Brunei Airlines has announced a significantly reduced flight schedule, and will be suspending their direct flight from Brunei to London from 0010 on 22 March.",Royal Brunei
Bulgaria,BGR,25.237625,42.757311,2020-04-08,Wizz Air cancels all of its flights connecting Sofia to Lisbon from 9-13 April ,Wizz
Burkina Faso,BFA,-1.735501,12.273481,2020-03-20,All flights canceled from 21MAR20,Air Burkina
Burundi,BDI,29.890813,-3.366382,2010-01-01,null,null
Cambodia,KHM,104.922836,12.711638,2020-04-08,Cambodia Airways plans Hong Kong service from June 2020,Cambodia Airways
Cameroon,CMR,12.751782,5.69612,2010-01-01,null,null
Canada,CAN,-102.46617,58.040219,2020-04-24,WestJet 05MAY20 – 04JUN20 Domestic operations as of 24APR20,.West Jet
Romania,ROU,24.984983,45.838878,2020-05-11,TAROM week of 10MAY20 operations,.TAROM
Russia,RUS,99.014058,61.618998,2020-03-31,Ural Airlines Feb – June 2020 International/Regional service cancellations as of 30MAR20,Ural Airlines
Turkey,TUR,35.432387,38.988934,2020-05-06,Turkish Airlines schedules Almaty / Kyiv service eff. 28MAY20,.Turkish Airlines
Turkmenistan,TKM,58.978766,40.091235,2020-04-24,Turkmenistan Airlines April/May 2020 Domestic service,.Turkmenistan Airlines
Turks and Caicos Islands,TCA,-72.002714,21.928412,2010-01-01,null,null
Tuvalu,TUV,177.152792,-7.222228,2010-01-01,null,null
Uganda,UGA,32.391004,1.279556,2020-03-19,"Uganda Airlines suspends flights to Kilimanjaro, Mogadishu, Mombasa and Zanzibar because of COVID-19 ",Uganda Airlines
Ukraine,UKR,31.40147,49.005714,2020-03-14,"Ukraine International Airlines has suspended most operations until at least April 3, 2020.",UIA
United Arab Emirates,ARE,53.982339,23.434112,2020-04-24,Air Arabia Abu Dhabi gets approval to start operations,.Air Arabia
United Kingdom,GBR,-0.239652,52.24861,2020-04-29,Aurigny April/May 2020 Interim operations as of 28APR20,.Aurigny
United Republic of Tanzania,TZA,34.804265,-6.26364,2010-01-01,null,null
United States,USA,-99.446708,39.40399,2020-04-30,Silver Airways moves Charleston SC launch to July 2020,.Silver Airways
United States Virgin Islands,VIR,-64.819501,17.728014,2010-01-01,null,null
Uruguay,URY,-56.017306,-32.796996,2010-01-01,null,null
Uzbekistan,UZB,63.119445,41.775605,2020-04-29,Uzbekistan Airways closes flight reservations up to 30JUN20,Uzbekistan Airways
Vanuatu,VUT,166.872606,-15.241809,2010-01-01,null,null
Venezuela,VEN,-66.154434,7.122874,2010-01-01,null,null
Vietnam,VNM,105.802499,10.096431,2020-04-05,Bamboo Airways 01APR20 – 15APR20 domestic service changes,.Bamboo Airways
Wake Island,WAK,166.646462,19.278314,2010-01-01,null,null
Wallis and Futuna,WLF,-176.20431,-13.285184,2010-01-01,null,null
West Bank,PSE,35.256944,31.943484,2010-01-01,null,null
Western Sahara,ESH,-13.135324,24.662235,2010-01-01,null,null
Yemen,YEM,45.226272,15.225552,2010-01-01,null,null
Zambia,ZMB,27.854152,-14.594525,2020-04-30,Zambia Airways launch delayed again due to COVID-19,Zambia Airways
Zimbabwe,ZWE,29.869096,-19.000755,2020-04-14,FastJet plans new routes from July 2020,.Fastjet Zimbabwe
Rwanda,RWA,29.923106,-1.999837,2020-05-08," Extends the temporary suspension of passenger flights until May 15th, 2020 when further updates will be provided.",Rwandair
Saba,ANT,-63.237736,17.631336,2010-01-01,null,null
Saint Barthélemy,BLM,-62.831638,17.896055,2010-01-01,null,null
Saint Helena,SHN,-14.367084,-7.943579,2010-01-01,null,null
Saint Kitts and Nevis,KNA,-62.765706,17.33978,2010-01-01,null,null
Saint Lucia,LCA,-60.967282,13.898456,2010-01-01,null,null
Saint Martin,MAF,-63.049372,18.082975,2010-01-01,null,null
Saint Pierre et Miquelon,SPM,-56.321676,46.855208,2010-01-01,null,null
Saint Vincent and the Grenadines,VCT,-61.189064,13.251505,2010-01-01,null,null
